p_theta	p_rho	p_pop_change_time	p_pop_change_newpop	s_segs	s_theta_pi	s_theta_w	s_tajimasD	s_ZnS	s_FayWuH	s_dvk	s_dvh	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	7	1.409091e+00	2.317975e+00	-1.534414e+00	2.979142e-01	-2.491559e+00	5.000000e+00	6.666667e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	3	7.727273e-01	9.934178e-01	-7.287296e-01	3.454545e-01	-8.701152e-01	3.000000e+00	4.027778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	11	3.287879e+00	3.642532e+00	-4.051093e-01	1.430680e-01	8.288307e-01	8.000000e+00	8.472222e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	2.121212e+00	1.655696e+00	1.036440e+00	2.805195e-01	-3.626849e-01	4.000000e+00	6.805556e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	1.227273e+00	1.324557e+00	-2.583148e-01	3.484848e-01	7.164069e-01	3.000000e+00	4.861111e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	10	3.696970e+00	3.311393e+00	4.790380e-01	1.878343e-01	3.741936e-01	8.000000e+00	8.194444e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	8	2.727273e+00	2.649114e+00	1.178172e-01	1.317161e-01	3.826846e-01	8.000000e+00	8.472222e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	3	8.787879e-01	9.934178e-01	-3.785130e-01	3.838384e-02	7.089828e-01	4.000000e+00	6.527778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	3	1.227273e+00	9.934178e-01	7.721988e-01	4.181818e-01	9.667947e-02	3.000000e+00	5.416667e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	8	2.878788e+00	2.649114e+00	3.462131e-01	2.334714e-01	7.334789e-01	6.000000e+00	7.777778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	12	3.984848e+00	3.973671e+00	1.181633e-02	1.517877e-01	8.868593e-01	1.200000e+01	9.166667e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	14	5.833333e+00	4.635950e+00	1.101942e+00	2.448601e-01	3.139415e-01	9.000000e+00	8.750000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	2.439394e+00	1.655696e+00	1.744850e+00	2.743563e-01	2.493458e-01	6.000000e+00	7.500000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	11	2.727273e+00	3.642532e+00	-1.045472e+00	1.871695e-01	4.453419e-01	7.000000e+00	7.638889e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	6	2.333333e+00	1.986836e+00	6.651022e-01	2.734969e-01	-3.968204e-02	5.000000e+00	7.500000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	3	7.424242e-01	9.934178e-01	-8.287915e-01	2.295684e-02	6.123033e-01	4.000000e+00	5.833333e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	1.045455e+00	1.324557e+00	-7.410882e-01	1.579431e-01	7.164069e-01	4.000000e+00	5.138889e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	1.424242e+00	1.324557e+00	2.646899e-01	2.286501e-01	2.653359e-01	4.000000e+00	6.388889e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	1.833333e+00	1.655696e+00	3.954968e-01	1.099174e-01	4.306883e-01	6.000000e+00	8.055556e-01	
