p_theta	p_rho	p_pop_change_time	p_pop_change_newpop	s_average_segs	s_variance_segs	s_average_pi	s_variance_pi	s_average_w	s_variance_w	s_average_tajd	s_variance_tajd	s_average_ZnS	s_variance_ZnS	s_average_FayWuH	s_variance_FayWuH	s_average_dvk	s_variance_dvk	s_average_dvh	s_variance_dvh	s_average_thomson_est	s_variance_thomson_est	s_average_thomson_var	s_variance_thomson_var	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	4.475000e+01	7.569167e+02	1.507576e+01	8.879170e+01	1.481848e+01	8.299835e+01	3.405977e-02	1.329555e-01	1.952352e-01	3.045893e-04	-2.546873e-02	7.463577e-01	1.050000e+01	5.666667e+00	8.750000e-01	5.529835e-03	1.475000e+01	1.087176e+02	7.840278e+00	4.345798e+01	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	3.700000e+01	5.046667e+02	1.200379e+01	4.910321e+01	1.225215e+01	5.533833e+01	1.406110e-01	4.686948e-01	2.426382e-01	3.624393e-02	1.817497e-01	1.996455e-01	9.500000e+00	1.433333e+01	8.368056e-01	2.010995e-02	1.027083e+01	3.866377e+01	4.769097e+00	1.074361e+01	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	4.375000e+01	6.795833e+02	1.326894e+01	7.655898e+01	1.448734e+01	7.451850e+01	-5.590398e-01	2.003600e-01	1.736798e-01	1.704590e-03	-9.721481e-02	7.683956e-01	9.500000e+00	4.333333e+00	8.576389e-01	3.134645e-03	1.239583e+01	5.313600e+01	6.314236e+00	1.638237e+01	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	3.650000e+01	3.616667e+02	1.115530e+01	5.507061e+01	1.208658e+01	3.965791e+01	-3.561322e-01	9.658106e-01	1.817556e-01	5.501892e-03	-6.391874e-02	1.841354e-01	1.025000e+01	5.583333e+00	8.819444e-01	2.764918e-03	1.081250e+01	5.171007e+01	5.699653e+00	1.465710e+01	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	4.275000e+01	6.182500e+02	1.405682e+01	8.395904e+01	1.415620e+01	6.779310e+01	-2.817638e-01	4.522060e-01	2.067244e-01	4.717482e-03	-8.654682e-02	1.799986e+00	9.500000e+00	9.000000e+00	8.506944e-01	1.085069e-02	1.127083e+01	3.532118e+01	4.828125e+00	3.134239e+00	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	4.150000e+01	3.376667e+02	1.228788e+01	4.043893e+01	1.374228e+01	3.702624e+01	-6.245459e-01	5.599768e-01	2.186741e-01	8.889157e-03	-1.999985e-02	2.166374e-01	1.000000e+01	7.333333e+00	8.680556e-01	6.237140e-03	1.145833e+01	3.389583e+01	5.826389e+00	1.045718e+01	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	5.000000e+01	6.680000e+02	1.513636e+01	7.712841e+01	1.655696e+01	7.324835e+01	-5.511871e-01	2.363516e-01	1.983968e-01	2.113293e-03	-2.975296e-01	2.914044e-01	1.025000e+01	4.916667e+00	8.819444e-01	2.636317e-03	1.437500e+01	5.813194e+01	7.437500e+00	1.329414e+01	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	4.050000e+01	7.016667e+02	1.440152e+01	9.632407e+01	1.341114e+01	7.694001e+01	1.229533e-01	7.811979e-01	2.120887e-01	1.526109e-02	4.175899e-01	9.836183e-02	1.000000e+01	8.000000e+00	8.645833e-01	7.507073e-03	1.220833e+01	8.202546e+01	5.607639e+00	2.107695e+01	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	3.350000e+01	2.123333e+02	1.084091e+01	2.468021e+01	1.109317e+01	2.328303e+01	-5.311057e-02	3.609633e-01	2.006258e-01	5.987114e-03	3.227464e-01	1.519514e-01	9.500000e+00	9.000000e+00	8.645833e-01	5.835262e-03	8.958333e+00	1.685417e+01	3.989583e+00	4.330006e+00	
1.000000e+01	1.000000e+01	1.000000e-02	3.000000e-01	3.700000e+01	3.646667e+02	1.245076e+01	5.397174e+01	1.225215e+01	3.998687e+01	1.766956e-02	4.679502e-01	1.896445e-01	8.573000e-03	2.130460e-01	9.070226e-02	1.050000e+01	3.000000e+00	8.923611e-01	9.484311e-04	1.060417e+01	4.669618e+01	4.897569e+00	1.266816e+01	
