p_theta	p_rho	p_npop	p_ej_time_pop_2_1	p_init_size_pop_0	s_segs_1	s_segs_2	s_segs	s_pi_1	s_pi_2	s_theta_pi	s_theta_w_1	s_theta_w_2	s_theta_w	s_tajimasD_1	s_tajimasD_2	s_tajimasD	s_ZnS_1	s_ZnS_2	s_ZnS	s_fst	s_perc_shared_1_2	s_perc_private_1_2	s_perc_fixed_dif_1_2	s_pairwise_fst_1_2	s_FayWuH_1	s_FayWuH_2	s_FayWuH	s_dvk_1	s_dvh_1	s_dvk_2	s_dvh_2	s_dvk	s_dvh	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.300000e+01	1.900000e+01	57	9.266667e+00	8.733333e+00	2.172727e+01	1.007299e+01	8.321168e+00	1.887494e+01	-5.028023e-01	3.087881e-01	6.961606e-01	2.923024e-01	2.629662e-01	2.707906e-01	5.645161e-01	0.000000e+00	7.368421e-01	2.631579e-01	5.645161e-01	-4.922051e+00	-3.846942e+00	7.687135e-01	6.000000e+00	8.333333e-01	6.000000e+00	8.333333e-01	1.200000e+01	9.166667e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.900000e+01	1.000000e+01	56	1.146667e+01	4.933333e+00	1.954545e+01	1.270073e+01	4.379562e+00	1.854380e+01	-6.149190e-01	7.594289e-01	2.487166e-01	2.749754e-01	4.506667e-01	2.467163e-01	5.591398e-01	0.000000e+00	6.964286e-01	3.035714e-01	5.591398e-01	-2.971375e+00	-7.589728e+00	6.775046e-01	6.000000e+00	8.333333e-01	4.000000e+00	6.666667e-01	1.000000e+01	8.750000e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	4.900000e+01	1.300000e+01	70	2.160000e+01	5.133333e+00	2.343939e+01	2.145985e+01	5.693431e+00	2.317975e+01	4.182835e-02	-6.014669e-01	5.186261e-02	2.218712e-01	3.080769e-01	1.900064e-01	4.085546e-01	1.428571e-02	8.571429e-01	1.285714e-01	4.085546e-01	-9.378543e-01	-5.334453e+00	8.261581e-01	6.000000e+00	8.333333e-01	6.000000e+00	8.333333e-01	1.200000e+01	9.166667e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.200000e+01	1.300000e+01	56	8.533333e+00	4.733333e+00	2.165152e+01	9.635036e+00	5.693431e+00	1.854380e+01	-7.170439e-01	-1.031011e+00	7.716633e-01	3.215584e-01	3.234615e-01	3.363532e-01	6.748366e-01	0.000000e+00	6.250000e-01	3.750000e-01	6.748366e-01	-2.724322e+00	-1.359425e+01	5.761684e-01	6.000000e+00	8.333333e-01	5.000000e+00	7.777778e-01	1.100000e+01	9.027778e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	3.300000e+01	1.200000e+01	62	1.446667e+01	5.266667e+00	2.230303e+01	1.445255e+01	5.255474e+00	2.053064e+01	6.201321e-03	1.295537e-02	3.985665e-01	3.358018e-01	3.124242e-01	2.570009e-01	5.360502e-01	0.000000e+00	7.258065e-01	2.741935e-01	5.360502e-01	-1.960253e+00	-9.476576e+00	6.833337e-01	5.000000e+00	7.777778e-01	4.000000e+00	7.222222e-01	9.000000e+00	8.750000e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	1.600000e+01	1.500000e+01	43	7.666667e+00	5.466667e+00	1.507576e+01	7.007299e+00	6.569343e+00	1.423899e+01	5.819385e-01	-1.034610e+00	2.683709e-01	3.184120e-01	2.491429e-01	2.306342e-01	5.429234e-01	0.000000e+00	7.209302e-01	2.790698e-01	5.429234e-01	-3.315483e+00	-4.190478e+00	7.315586e-01	5.000000e+00	7.777778e-01	6.000000e+00	8.333333e-01	1.100000e+01	9.027778e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.600000e+01	7.000000e+00	45	1.226667e+01	2.600000e+00	1.619697e+01	1.138686e+01	3.065693e+00	1.490127e+01	4.873511e-01	-8.840696e-01	3.977143e-01	2.684684e-01	2.228571e-01	2.359151e-01	5.193966e-01	0.000000e+00	7.333333e-01	2.666667e-01	5.193966e-01	-2.016017e+00	-1.275623e+01	3.238430e-01	6.000000e+00	8.333333e-01	5.000000e+00	7.777778e-01	1.100000e+01	9.027778e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	2.300000e+01	1.600000e+01	63	9.800000e+00	6.200000e+00	2.400000e+01	1.007299e+01	7.007299e+00	2.086177e+01	-1.702306e-01	-7.124989e-01	6.947803e-01	2.915591e-01	2.165208e-01	3.029363e-01	6.470588e-01	0.000000e+00	6.190476e-01	3.809524e-01	6.470588e-01	-4.712602e+00	-9.081541e+00	6.212190e-01	6.000000e+00	8.333333e-01	6.000000e+00	8.333333e-01	1.200000e+01	9.166667e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	1.600000e+01	1.700000e+01	52	7.733333e+00	6.466667e+00	2.040909e+01	7.007299e+00	7.445255e+00	1.721924e+01	6.407766e-01	-8.152829e-01	8.511886e-01	2.202894e-01	6.858824e-01	3.304946e-01	6.321244e-01	0.000000e+00	6.346154e-01	3.653846e-01	6.321244e-01	-6.414739e+00	-6.018086e+00	6.615362e-01	6.000000e+00	8.333333e-01	3.000000e+00	5.000000e-01	9.000000e+00	8.333333e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	1.600000e+01	8.000000e+00	46	5.733333e+00	3.666667e+00	2.059091e+01	7.007299e+00	3.503650e+00	1.523241e+01	-1.124365e+00	2.742963e-01	1.610211e+00	3.380000e-01	3.410714e-01	4.699171e-01	7.560554e-01	0.000000e+00	5.217391e-01	4.782609e-01	7.560554e-01	-5.766058e+00	-1.967536e+01	4.915364e-01	5.000000e+00	7.777778e-01	5.000000e+00	7.777778e-01	1.000000e+01	8.888889e-01	
1.000000e+01	2.000000e+01	2	1.000000e+00	5.000000e-01	7.000000e+00	1.500000e+01	37	3.133333e+00	7.733333e+00	1.637879e+01	3.065693e+00	6.569343e+00	1.225215e+01	1.284072e-01	1.092139e+00	1.529428e+00	3.928571e-01	4.961905e-01	4.125486e-01	6.487069e-01	0.000000e+00	5.945946e-01	4.054054e-01	6.487069e-01	-1.133887e+01	-5.638098e+00	5.936743e-01	4.000000e+00	7.222222e-01	4.000000e+00	7.222222e-01	8.000000e+00	8.611111e-01	
